ids,Include
ABCD_1702,0
ABCD_1703,1
ABCD_1704,1
ABCD_1705,1
ABCD_1708,1
ABCD_1710,1
ABCD_1714,1
ABCD_1716,0
ABCD_1720,1
ABCD_1721,1
ABCD_1722,1
ABCD_1724,1
ABCD_1725,1
ABCD_1726,1
ABCD_1727,1
ABCD_1728,1
ABCD_1729,1
ABCD_1730,1
ABCD_1732,0
ABCD_1734,1
ABCD_1735,1
ABCD_1736,1
ABCD_1739,1
ABCD_1747,1
ABCD_1751,1
ABCD_1752,1
ABCD_1754,1
ABCD_1756,1
ABCD_1758,1
ABCD_1760,1
ABCD_1763,0
ABCD_1764,1
ABCD_1767,0
ABCD_1768,1
ABCD_1774,0
ABCD_1776,0
ABCD_1778,1
ABCD_1781,0
ABCD_1782,1
ABCD_1784,1
ABCD_1788,1
ABCD_1790,1
ABCD_1792,1
ABCD_1794,1
ABCD_1798,1